INT_NO,RUE_1,RUE_2,NO_ARRONDISSEMENT,ARRONDISSEMENT,PERMANENT_OU_TEMPORAIRE,LOC_X,LOC_Y,Longitude,Latitude
659,"Havre","Ontario",6,"Ville-Marie","Permanent",300721.888,5043736.101,-73.552214,45.533529
672,"Ontario","Parthenais",6,"Ville-Marie","Permanent",300420.194,5043279.596,-73.556073,45.529419
681,"Bordeaux","Rachel",5,"Plateau Mont-Royal","Permanent",299492.392,5043585.096,-73.567954,45.532162
685,"Champlain","Émile-Duployé/Sherbrooke",6,"Ville-Marie","Permanent",299783.231,5043013.62,-73.564225,45.527022
689,"Fullum","Saint-Joseph",5,"Plateau Mont-Royal","Permanent",298936.4455,5044432.3995,-73.575082,45.539782
696,"Laurier","Papineau inter. Nord",5,"Plateau Mont-Royal","Permanent",298447.4,5044017,-73.581339,45.53604
254,"Saint-Ferdinand","Saint-Jacques",8,"Sud-Ouest","Permanent",297989.62,5037474,-73.587109,45.477159
265,"Saint-Patrick","Seigneurs",8,"Sud-Ouest","Permanent",299722.726,5038261.856,-73.56495,45.484263
281,"Pins","University",5,"Plateau Mont-Royal","Permanent",298539.693,5040923.743,-73.580118,45.508206
305,"Crescent","Sainte-Catherine",6,"Ville-Marie","Permanent",298883.048,5039699.055,-73.575709,45.497189
325,"Jeanne-Mance","Sainte-Catherine",6,"Ville-Marie","Permanent",299628.427,5040808.068,-73.566183,45.507174
345,"McGill College","Sherbrooke",6,"Ville-Marie","Permanent",298960.617,5040422.16,-73.574725,45.503696
361,"Sainte-Catherine","Saint-Laurent",6,"Ville-Marie","Permanent",299813.122,5041107.572,-73.563823,45.509871
408,"Gouin","9165 Ouest",1,"Ahuntsic - Cartierville","Permanent",285550.72,5041728,-73.746378,45.515206
427,"René-Lévesque","Union",6,"Ville-Marie","Permanent",299581.6605,5040290.7285,-73.566776,45.502519
436,"Jean-Paul-Riopel pl.","Saint-Antoine / Saint-Pierre",6,"Ville-Marie","Permanent",300079.22,5040365.5,-73.56041,45.503195
437,"Bleury / Jean-Paul-Riopel","Viger",6,"Ville-Marie","Permanent",299973.882,5040435.743,-73.561759,45.503826
439,"Hôtel-de-Ville","René-Lévesque",6,"Ville-Marie","Permanent",300110.895,5041202.3765,-73.560013,45.510726
445,"René-Lévesque","Sanguinet",6,"Ville-Marie","Permanent",300183.956,5041315.5,-73.559079,45.511744
452,"Jacques-Cartier (pl)","Notre-Dame",6,"Ville-Marie","Permanent",300579.2975,5040926.4125,-73.554015,45.508246
461,"Place d'Armes / Saint-Urbain","Saint-Antoine",6,"Ville-Marie","Permanent",300246.66,5040644.5,-73.55827,45.505707
467,"Saint-Urbain","Viger",6,"Ville-Marie","Permanent",300127.83,5040723.069,-73.559791,45.506413
472,"Atateken","Ontario",6,"Ville-Marie","Permanent",299881.905,5042251.084,-73.562954,45.520161
475,"Atateken","Sherbrooke",6,"Ville-Marie","Permanent",299678.304,5042385.085,-73.565561,45.521365
477,"Berri","Cherrier",5,"Plateau Mont-Royal","Permanent",299390.15,5042131.2875,-73.569247,45.519079
480,"Berri","Roy",5,"Plateau Mont-Royal","Permanent",299202.152,5042259.088,-73.571655,45.520228
481,"Berri","Sainte-Catherine",6,"Ville-Marie","Permanent",300138.014,5041637.578,-73.55967,45.514642
482,"Berri","Sherbrooke",5,"Plateau Mont-Royal","Permanent",299567.6925,5042011.2475,-73.566973,45.518001
486,"Cherrier","Saint-Hubert",5,"Plateau Mont-Royal","Permanent",299448.206,5042217.082,-73.568505,45.519852
492,"Maisonneuve","Saint-André",6,"Ville-Marie","Permanent",300149.764,5041903.012,-73.559522,45.517031
501,"Rigaud","Saint-Denis",5,"Plateau Mont-Royal","Permanent",299433.2,5041952.5,-73.568694,45.517471
518,"Bernard","Saint-Laurent",5,"Plateau Mont-Royal","Permanent",296812.859,5043053.828,-73.602252,45.527356
520,"Bullion","Saint-Joseph",5,"Plateau Mont-Royal","Permanent",297771.608,5042670.121,-73.589972,45.523914
548,"Prince-Arthur","Saint-Laurent",5,"Plateau Mont-Royal","Permanent",299130.165,5041554.824,-73.572568,45.51389
552,"Saint-Cuthbert","Saint-Urbain",5,"Plateau Mont-Royal","Permanent",298683.224,5041651.95,-73.57829,45.51476
565,"Brébeuf","Laurier",5,"Plateau Mont-Royal","Permanent",298179.823,5043613.674,-73.58476,45.532408
573,"Duluth","Parc-La Fontaine",5,"Plateau Mont-Royal","Permanent",299146.833,5042741.5885,-73.572369,45.524569
574,"Duluth","Saint-Denis",5,"Plateau Mont-Royal","Permanent",298872.761,5042316.412,-73.575872,45.520741
577,"Garnier","Saint-Joseph",5,"Plateau Mont-Royal","Permanent",298438.3395,5043695.511,-73.581451,45.533147
584,"Calixa-Lavallée","Lanaudière/Rachel",5,"Plateau Mont-Royal","Permanent",299176.162,5043113.62,-73.571997,45.527917
808,"5 e Avenue","Masson",3,"Rosemont - Petite-Patrie","Permanent",298924.086,5045293.601,-73.575251,45.547531
809,"5 e Avenue","Rosemont",3,"Rosemont - Petite-Patrie","Permanent",298297.784,5045557.096,-73.583275,45.549897
811,"8 e Avenue","Masson",3,"Rosemont - Petite-Patrie","Permanent",299004.631,5045478.274,-73.574221,45.549194
827,"26 e Avenue","Beaubien",3,"Rosemont - Petite-Patrie","Permanent",298735.76,5047226.802,-73.577687,45.564925
829,"28 e Avenue","Rosemont",3,"Rosemont - Petite-Patrie","Permanent",299277.748,5047146.4875,-73.570742,45.564207
831,"31 e Avenue","Saint-Zotique",3,"Rosemont - Petite-Patrie","Permanent",298633.832,5047671.004,-73.578998,45.568921
